Offset 000059: arquivo1 = 45 | arquivo2 = 24
Offset 00005A: arquivo1 = 7A | arquivo2 = 1E
Offset 00005B: arquivo1 = B0 | arquivo2 = A1
Offset 000105: arquivo1 = DF | arquivo2 = AE
Offset 000106: arquivo1 = 10 | arquivo2 = 1E
Offset 000108: arquivo1 = 29 | arquivo2 = 10
Offset 000109: arquivo1 = 8E | arquivo2 = C3
Offset 00010A: arquivo1 = 15 | arquivo2 = 43
Offset 00010B: arquivo1 = F6 | arquivo2 = F3
Offset 00010C: arquivo1 = 7D | arquivo2 = 3E
Offset 00010D: arquivo1 = 43 | arquivo2 = 0D
Offset 00010E: arquivo1 = 65 | arquivo2 = 26
Offset 00010F: arquivo1 = 0E | arquivo2 = 1C
Offset 000110: arquivo1 = 66 | arquivo2 = 6C
Offset 000111: arquivo1 = 1C | arquivo2 = 0E
Offset 00011A: arquivo1 = 33 | arquivo2 = 32
Offset 00011D: arquivo1 = 9F | arquivo2 = 9E
Offset 000122: arquivo1 = D5 | arquivo2 = D7
Offset 000123: arquivo1 = 72 | arquivo2 = 00
Offset 000124: arquivo1 = 24 | arquivo2 = 21
Offset 000125: arquivo1 = DE | arquivo2 = AE
Offset 000126: arquivo1 = FA | arquivo2 = 8D
Offset 000127: arquivo1 = D7 | arquivo2 = D2
Offset 000128: arquivo1 = FC | arquivo2 = 8E
Offset 000129: arquivo1 = 5E | arquivo2 = 5B
Offset 00012A: arquivo1 = 73 | arquivo2 = 70
Offset 00012B: arquivo1 = 25 | arquivo2 = 57
Offset 00012C: arquivo1 = 1E | arquivo2 = 1B
Offset 00012D: arquivo1 = B8 | arquivo2 = C9
Offset 00012E: arquivo1 = 5F | arquivo2 = 28
Offset 00012F: arquivo1 = 34 | arquivo2 = 31
Offset 000130: arquivo1 = 72 | arquivo2 = 00
Offset 000131: arquivo1 = 87 | arquivo2 = 82
Offset 000132: arquivo1 = B9 | arquivo2 = BD
Offset 000133: arquivo1 = 12 | arquivo2 = 60
Offset 000134: arquivo1 = 0D | arquivo2 = 08
Offset 000135: arquivo1 = B9 | arquivo2 = CF
Offset 000136: arquivo1 = DC | arquivo2 = AB
Offset 000137: arquivo1 = E5 | arquivo2 = E0
Offset 000138: arquivo1 = 56 | arquivo2 = 24
Offset 000139: arquivo1 = E4 | arquivo2 = E1
Offset 00013A: arquivo1 = C8 | arquivo2 = CD
Offset 00013B: arquivo1 = 58 | arquivo2 = 2A
Offset 00013C: arquivo1 = F5 | arquivo2 = F0
Offset 00013D: arquivo1 = D9 | arquivo2 = AE
Offset 00013E: arquivo1 = 2B | arquivo2 = 5C
Offset 00013F: arquivo1 = 52 | arquivo2 = 57
Offset 000140: arquivo1 = 7B | arquivo2 = 09
Offset 000141: arquivo1 = D3 | arquivo2 = D6
Offset 000142: arquivo1 = 2C | arquivo2 = 2A
Offset 000143: arquivo1 = CE | arquivo2 = BC
Offset 000144: arquivo1 = A3 | arquivo2 = A6
Offset 000145: arquivo1 = 7E | arquivo2 = 0A
Offset 000146: arquivo1 = 06 | arquivo2 = 71
Offset 000147: arquivo1 = 37 | arquivo2 = 32
Offset 000148: arquivo1 = 9F | arquivo2 = ED
Offset 000149: arquivo1 = 4E | arquivo2 = 4B
Offset 00014A: arquivo1 = BC | arquivo2 = BB
Offset 00014B: arquivo1 = 57 | arquivo2 = 25
Offset 00014C: arquivo1 = F9 | arquivo2 = FC
Offset 00014D: arquivo1 = FB | arquivo2 = 8E
Offset 00014E: arquivo1 = F4 | arquivo2 = 83
Offset 00014F: arquivo1 = 63 | arquivo2 = 66
Offset 000150: arquivo1 = 20 | arquivo2 = 52
Offset 000151: arquivo1 = B1 | arquivo2 = B4
Offset 000152: arquivo1 = 59 | arquivo2 = 51
Offset 000153: arquivo1 = 4F | arquivo2 = 3D
Offset 000154: arquivo1 = 28 | arquivo2 = 2D
Offset 000155: arquivo1 = 10 | arquivo2 = 6A
Offset 000156: arquivo1 = 89 | arquivo2 = FE
Offset 000157: arquivo1 = 88 | arquivo2 = 8D
Offset 000158: arquivo1 = 81 | arquivo2 = F3
Offset 000159: arquivo1 = 33 | arquivo2 = 36
Offset 00015A: arquivo1 = 02 | arquivo2 = 0B
Offset 00015B: arquivo1 = B3 | arquivo2 = C1
Offset 00015C: arquivo1 = CD | arquivo2 = C8
Offset 00015D: arquivo1 = 9B | arquivo2 = E0
Offset 00015E: arquivo1 = C9 | arquivo2 = BE
Offset 00015F: arquivo1 = AF | arquivo2 = AA
Offset 000160: arquivo1 = E6 | arquivo2 = 94
Offset 000161: arquivo1 = 6B | arquivo2 = 6E
Offset 000162: arquivo1 = B0 | arquivo2 = C1
Offset 000163: arquivo1 = 5B | arquivo2 = 29
Offset 000164: arquivo1 = 06 | arquivo2 = 03
Offset 000165: arquivo1 = 60 | arquivo2 = 63
Offset 000166: arquivo1 = 18 | arquivo2 = 6F
Offset 000167: arquivo1 = B7 | arquivo2 = B2
Offset 000168: arquivo1 = 0C | arquivo2 = 7E
Offset 000169: arquivo1 = 8A | arquivo2 = 8F
Offset 00016A: arquivo1 = 2D | arquivo2 = 5F
Offset 00016B: arquivo1 = 68 | arquivo2 = 1A
Offset 00016C: arquivo1 = 76 | arquivo2 = 73
Offset 00016E: arquivo1 = FA | arquivo2 = 8D
